id,state
CA001103660,BC
CA001104080,BC
CA001104468,BC
CA001104470,BC
CA001104473,BC
CA001104477,BC
CA001104484,BC
CA001104488,BC
CA001104550,BC
CA001104553,BC
CA001104554,BC
CA001104555,BC
CA001104560,BC
CA001104562,BC
CA001104565,BC
CA001104569,BC
CA00110456B,BC
CA001104634,BC
CA001104902,BC
CA001104927,BC
CA001104928,BC
CA001104R02,BC
CA001105155,BC
CA001105190,BC
CA001105192,BC
CA001105210,BC
CA001105230,BC
CA001105550,BC
CA001105553,BC
CA001105560,BC
CA001105570,BC
CA001105627,BC
CA001105630,BC
CA001105652,BC
CA001105655,BC
CA001105656,BC
CA001105657,BC
CA001105658,BC
CA001105659,BC
CA001105660,BC
CA001105661,BC
CA001105663,BC
CA001105664,BC
CA001105665,BC
CA001105666,BC
CA001105667,BC
CA001105668,BC
CA001105669,BC
CA001105F5F,BC
CA001106174,BC
CA001106177,BC
CA001106178,BC
CA001106179,BC
CA001106180,BC
CA001106190,BC
CA001106200,BC
CA001106255,BC
CA001106256,BC
CA001106257,BC
CA001106300,BC
CA0011063L2,BC
CA001106720,BC
CA001106762,BC
CA001106763,BC
CA001106764,BC
CA001106765,BC
CA001106766,BC
CA001106767,BC
CA001106768,BC
CA001106770,BC
CA001106865,BC
CA001106910,BC
CA001106CL2,BC
CA001106GF3,BC
CA001106L3K,BC
CA001106P6N,BC
CA001106PF7,BC
CA001107010,BC
CA001107080,BC
CA001107083,BC
CA001107195,BC
CA001107200,BC
CA001107680,BC
CA001107689,BC
CA001107710,BC
CA001107785,BC
CA001107788,BC
CA001107873,BC
CA001107876,BC
CA001107878,BC
CA001107879,BC
CA001107H79,BC
CA001107H7H,BC
CA001107H7R,BC
CA001108380,BC
CA001108395,BC
CA001108410,BC
CA001108414,BC
CA001108430,BC
CA001108435,BC
CA001108436,BC
CA001108440,BC
CA001108442,BC
CA001108445,BC
CA001108446,BC
CA001108447,BC
CA001108448,BC
CA001108449,BC
CA001108450,BC
CA001108453,BC
CA001108455,BC
CA001108460,BC
CA001108462,BC
CA001108463,BC
CA001108465,BC
CA001108470,BC
CA001108471,BC
CA001108473,BC
CA001108475,BC
CA001108482,BC
CA001108487,BC
CA001108488,BC
CA001108489,BC
CA001108530,BC
CA001108820,BC
CA001108823,BC
CA001108824,BC
CA001108825,BC
CA001108826,BC
CA001108828,BC
CA001108829,BC
CA001108831,BC
CA001108835,BC
CA001108837,BC
CA001108840,BC
CA001108844,BC
CA001108846,BC
CA001108848,BC
CA001108885,BC
CA001108886,BC
CA001108890,BC
CA001108892,BC
CA001108906,BC
CA001108910,BC
CA001108911,BC
CA001108913,BC
CA001108914,BC
CA001108920,BC
CA001108923,BC
CA001108925,BC
CA001108927,BC
CA001108987,BC
CA001108988,BC
CA001108989,BC
CA001108990,BC
CA001108H2G,BC
CA001108M87,BC
CA001109004,BC
CA001109006,BC
CA00110A1ND,BC
CA00110A8R1,BC
CA00110B001,BC
CA00110CCCC,BC
CA00110D634,BC
CA00110EA90,BC
CA00110EF56,BC
CA00110EF57,BC
CA00110EFE9,BC
CA00110EFEF,BC
CA00110EFFF,BC
CA00110EFNN,BC
CA00110FAG9,BC
CA00110FBEE,BC
CA00110FJPP,BC
CA00110FK0M,BC
CA00110FKNF,BC
